ONI_10_dem_1,ONI_10_dem_2,ONI_10_dem_3,ONI_49_dem_1,ONI_49_dem_2,ONI_49_dem_3,ONI_89_dem_1,ONI_89_dem_2,ONI_89_dem_3,Suma
-46.5399955065675,-58.16036377923119,-43.95539576453235,-52.836957744009766,-71.5087690431906,-53.552315616947936,-0.0,-0.0,-0.0,-326.5537974544793
-35.032407055930186,-44.85604477738577,-34.354130305901556,-75.9196464532999,-106.06812837293668,-79.56156657527444,-21.32996965831297,-28.633055563050885,-20.597997364339427,-446.35294612643185
-16.420142552672786,-22.516404430686507,-16.842958914345385,-55.39988649467365,-77.80041066464209,-59.85116229097019,-5.8917130683843695,-7.689598916460358,-5.881572654157796,-268.2938499869931
-17.29334658900698,-23.232508565708457,-17.690030988388685,-99.04398032200636,-135.9897591809707,-105.84579152033453,-16.570517988418544,-22.659607539549352,-16.59765803241181,-454.92320072679547
-11.962797876764432,-16.004354181784343,-12.187707257825066,-78.48337075052207,-106.07079122458325,-80.70128644859027,-24.711259946930294,-34.057267734527436,-24.94712127292615,-389.1259566944533
-17.89793415211075,-23.619951785828043,-17.856801134631514,-69.41242112608366,-97.26336136294418,-72.17838172889306,-32.5042149189878,-43.40485173067115,-33.572633018798996,-407.71055095894917
-11.08914766213629,-14.906581973435904,-10.738175790480888,-41.38420163249024,-59.02723892430004,-43.0987347783755,-28.729110865814746,-38.605227763847004,-29.218472579427367,-276.79689197030797
-16.90657559663606,-23.85935965414023,-17.29750768212413,-66.28263818668141,-92.24791321242957,-69.68722650957814,-50.55752866433563,-67.10363559817756,-51.976013638817086,-455.91839874291986
-15.873974779616411,-22.52786549713402,-17.306343103969894,-75.01261528493536,-105.91338994113292,-79.91817491330566,-63.70236037810503,-84.23814648235354,-66.87277503566614,-531.365645416219
-68.55502931443584,-95.27123691431538,-70.17761400995357,-31.479052628922968,-42.10789291323525,-32.311196570322224,-17.967614096124382,-24.14930504257578,-18.886437294833723,-400.9053787847191
-81.4989685157246,-118.82970247298263,-94.88595314904514,-15.99071989407919,-22.398034720375044,-16.987970448721423,-18.008707924075818,-25.574540311655205,-19.579816550514227,-413.75441398717334
-75.35094583930727,-104.26535648228334,-87.74274580608271,-14.509973930239346,-20.777519170025453,-15.258951583011598,-0.0,-0.0,-0.0,-317.90549281094974
-111.17336447038613,-150.73673482748197,-118.96416796522006,-5.808128938545871,-8.217348757014056,-5.997222757768973,-0.0,-0.0,-0.0,-400.89696771641707
-104.99949743559205,-150.22606276578028,-119.9348905329439,-32.55296910919712,-47.234527021607455,-35.25658057232564,-0.0,-0.0,-0.0,-490.2045274374465
-58.198765156026994,-80.40426476336454,-66.68294769451569,-59.14320811171285,-90.4734194375157,-64.66667760444032,-2.2778069561811556,-3.2261502244784808,-2.45327670811486,-427.52651665635057
-69.17947621880873,-97.79440557986935,-79.26223137550005,-85.89629642682182,-126.78733199202698,-97.04308078090214,-10.740647022474311,-14.689077184916933,-11.952173666571081,-593.3447202478914
-30.45131836410535,-42.755695436441734,-34.06022857152448,-69.6485207613166,-104.88281472854788,-80.83368207839314,-13.716470856983548,-18.93965745904075,-15.277858211808551,-410.56624646816203
-30.848512068065617,-39.82941209504024,-31.879915038310667,-84.6345395854464,-117.91360775407338,-91.40560684365686,-35.62815062192633,-49.6794945083106,-40.89628343565395,-522.715521950484
-23.151493066272167,-29.236399488438543,-23.475089743052525,-56.16722869664819,-81.62809091255333,-61.97033772210494,-31.813861203198673,-44.48583566366231,-37.21911170947927,-389.14744820540994
-27.50462835621447,-35.08648868883338,-29.40209024229399,-69.08836341316389,-98.21988859686464,-77.37614840563069,-50.94893770206295,-67.18510201348016,-55.63295490421645,-510.4446023227606
-32.57346151009562,-43.87787279513727,-35.21997216825574,-78.2275039523626,-105.31672741668456,-82.4156360668356,-57.48047621548854,-74.70042329465709,-60.7415398955534,-570.5536133150704
-13.93290900464664,-18.860212156069903,-14.316737131465597,-50.89388176302827,-68.50301572357009,-55.38104636418132,-129.6079177943613,-173.86214829816984,-139.91070046250206,-665.2685686979951
-11.956808020779293,-15.8975812378736,-12.417951081265883,-58.0236785904139,-76.33242174131539,-63.2760022818553,-137.00824725448058,-183.67848042763185,-144.44313139113424,-703.03430202675
-6.377832848945497,-8.578410523370769,-6.920440001468701,-38.20933334198915,-50.418223430654294,-41.409157764050185,-118.71331416975612,-155.41863135117356,-128.86010566000544,-554.9054490914136
