ONI_10_dem_1,ONI_10_dem_2,ONI_10_dem_3,ONI_50_dem_1,ONI_50_dem_2,ONI_50_dem_3,ONI_90_dem_1,ONI_90_dem_2,ONI_90_dem_3,Suma
-24.888175512396046,-33.4716246872751,-24.847975831693248,-34.707255072331066,-46.146663581003054,-36.242691982827516,-0.0,-0.0,-0.0,-200.30438666752605
-14.738498331448135,-20.569919505469915,-15.380716344333761,-44.85112491959872,-59.32123516110343,-46.704731755686886,-11.071354316823296,-13.822451752159603,-10.163783181203536,-236.62381526782727
-15.902503365185629,-21.54161023114629,-16.436918477165985,-55.329886141677854,-76.17332821300734,-60.04007633283668,-5.395947167184899,-7.145548974210874,-5.249781088252888,-263.21559999066847
-10.412715234395556,-14.763317105857375,-10.948656297300142,-59.2653674048405,-75.80307175577306,-61.31667438052196,-9.599494477896394,-12.5594583078962,-9.729370249701045,-264.39812521418224
-5.316068000047854,-8.179631448422558,-5.742040624358383,-28.437505656615,-37.190178641647776,-31.33424577223484,-12.255428000214023,-15.660955011516627,-12.307859143945738,-156.42391229900278
-2.6688640699348913,-4.195419191094423,-2.9612631324508105,-20.72454844945879,-30.095157436995596,-23.939039169877642,-10.065203416678681,-13.90760212703614,-11.954859813191161,-120.51195680671813
-5.532952386245725,-8.102308904728767,-5.955489094471315,-24.13765501555367,-36.1409992659585,-26.88866767148935,-23.67148611459702,-34.146151568728634,-27.143630839673687,-191.71934086144665
-5.19805756410558,-7.565489510030228,-5.778364056549266,-24.61935806033776,-39.97100367882964,-28.253970624933036,-23.968240804075176,-33.86559586306372,-25.695331246519643,-194.91541140844407
-4.702475987934564,-7.338248172825089,-5.7873245547715015,-25.401730147776867,-38.07858482829253,-29.494857799894135,-25.30633531735456,-35.22207157419404,-30.440563073781103,-201.77219145682437
22.385469100595582,23.635223677395413,17.860089643906353,3.0701694980416696,2.19898753034537,1.5148402292844179,-0.738360152701365,-1.4400619894052078,-2.028947925875137,66.45740961158708
-4.307631181689887,-11.635882568183407,-8.947319482329702,-2.85574909267185,-5.042856677473359,-4.1052439879003995,-5.605196504537411,-7.375468894612927,-7.158804512138729,-57.03415290153767
-22.10272477966269,-29.11598389111719,-26.49345885478605,-4.153439937604034,-6.140751097239758,-5.415489673621544,-0.0,-0.0,-0.0,-93.42184823403127
-14.606743760395164,-20.642192942745385,-19.57387940793256,-1.2346835694171965,-2.0436690605818577,-1.7737395233716373,-0.0,-0.0,-0.0,-59.8749082644438
19.424193635344643,21.408649734837258,14.363273492035956,-0.49508816607886263,-1.9523417962437148,-1.6319823779767104,-0.0,-0.0,-0.0,51.11670452191857
-3.8523760527594497,-9.202799504145927,-7.692885394420632,-13.980202374678491,-20.613742395222626,-17.966567285870923,-0.9202875034583002,-1.1742692565018322,-0.9671933110361249,-76.37032307809432
-10.435625404829732,-18.97661736640833,-12.483986268496965,-32.274163984809945,-46.940539436843245,-35.72389079975934,-5.1787982507894466,-6.573316071694281,-5.279773359619679,-173.86671094325095
-6.787272490504723,-13.529317895235245,-9.28713775149241,-32.81283651447013,-47.482568940897266,-34.52509895065603,-10.569079056964663,-13.26658158811792,-10.542894332390894,-178.80278752072925
-8.306173071451267,-14.521711856605826,-10.058721769806324,-48.13163730746938,-70.69732212328167,-47.81542700244366,-25.216121093270125,-31.909212557946898,-26.3231657222609,-282.97949250453604
-6.735401972087024,-11.591276716483,-8.924322627557599,-31.13283567319248,-50.004521811868706,-33.481104301341,-27.27692111692135,-36.63658736887994,-29.461029083586045,-235.24400067191718
-10.67624475449726,-17.417164793963146,-12.872635901069703,-47.75294317628452,-78.56663571824744,-53.83633739705316,-41.82777731311817,-55.730673834469755,-44.606223442549265,-363.2866363312524
-12.273490820304625,-18.530742190616767,-15.390597037679257,-35.77849528536416,-60.068626714483464,-43.133664826653636,-36.54348775801715,-51.39578998697111,-42.29076635361594,-315.4056609737061
-2.4889172007377405,-4.418254956987562,-3.666707635652405,-16.45341528817437,-27.921521294118115,-21.325391015023055,-40.31475938549702,-53.956369354615,-51.143471003966056,-221.6888071347713
-4.1707164776254935,-7.378042778475212,-6.023511895300476,-25.617460431750768,-43.00005776252378,-33.557267679430936,-58.39999704324609,-75.88489083767699,-70.33850245688531,-324.37044736291506
-2.870305317459588,-4.822508141580011,-4.1608988534318,-21.533329624547513,-35.00565812389267,-28.35941006438851,-48.043933227290786,-64.3124229676076,-60.736397056530606,-269.8448633767291
