ONI_10_dem_1,ONI_10_dem_2,ONI_10_dem_3,ONI_50_dem_1,ONI_50_dem_2,ONI_50_dem_3,ONI_90_dem_1,ONI_90_dem_2,ONI_90_dem_3,Suma
-35.94463229660366,-46.905994281751326,-36.68496800835572,-46.93855410019077,-66.3890755377385,-48.6652715629821,-0.0,-0.0,-0.0,-281.5284957876221
-18.821334265869215,-25.11366886463672,-19.832390987960718,-38.48030387284927,-54.1170840853125,-39.28264841735544,-14.261056870889595,-18.640796678560356,-14.930459142860359,-243.4797431862942
-11.98297786912294,-15.301200457404835,-12.706150659350541,-37.60180810432822,-55.163834179774,-39.37781279930286,-5.232682525849894,-7.08820562887577,-5.250449588572781,-189.70512181258187
-10.010463355101415,-13.421644762961025,-11.0522098606655,-39.22967632272837,-58.02426957270248,-40.525538438689736,-10.01089427104072,-13.002896418853865,-10.46492557499341,-205.74251857773652
-7.017447387640689,-9.9860571491144,-8.070911005632945,-32.57580469510932,-50.326872299440204,-35.84303083181516,-15.624141098425024,-20.681261808798084,-15.924176414110056,-196.0497026900859
-7.8408952093738975,-11.496227661811258,-8.707130665211254,-34.62137524707157,-50.899465770735844,-40.25681221644246,-27.449167199947286,-35.10835397512879,-29.22325700666778,-245.60268495239012
-7.706059811271706,-10.077164895361275,-8.322412901078343,-26.864431188856358,-36.780676314967955,-29.66665135775592,-31.31558462902337,-40.46917451221354,-32.870006297769756,-224.07216190829823
-5.734452601109279,-7.6491008484547205,-6.45075443579749,-16.207516665889496,-19.826271487604174,-16.623356071254403,-26.69056953750066,-33.52481020265789,-28.718521273744784,-161.4253531240129
-0.9903721720182656,-1.4409302865363798,-2.315801291590945,-2.9725004892078686,-4.577897553791579,-5.234865871385951,-17.36400114938736,-21.94844055828948,-18.374444342234526,-75.21925371444235
-25.43675697046454,-36.220903582526255,-32.038060341362986,-7.959650650837489,-10.376079484330123,-9.057236400269195,-9.768443464106033,-12.834476793384026,-9.850650924844272,-153.5422586121249
-26.99157582503106,-35.92870308726521,-32.3513249213898,-5.526547585342822,-7.172144788238044,-6.322792375119906,-8.760715904136232,-11.868215864034166,-9.159144259210967,-144.08116460976822
-25.503254606446088,-35.96477749734928,-37.2338825419082,-4.1685307480062,-5.938064004622407,-5.5024835502031015,-0.0,-0.0,-0.0,-114.31099294853527
31.37283787680444,34.41074342725396,16.416600781169205,0.6235789440672329,0.5994583871394784,0.24572980661067734,-0.0,-0.0,-0.0,83.668949223045
-8.79551449920982,-21.51252682483204,-25.48205665903159,-5.4690535036641466,-8.847560631849671,-8.654058985383104,-0.0,-0.0,-0.0,-78.76077110397037
-10.765862760185085,-17.873420445478263,-18.91985743449461,-12.527492290473804,-21.78516406144622,-19.289029017918207,-0.7631850884257305,-1.0559172919089865,-0.92600335484441,-103.90593174517532
0.06568484279168067,-2.403310355166626,-5.545862985828652,-13.593155999771998,-23.592014128111956,-22.584200569411045,-2.210726080195919,-3.034428910746623,-2.8495048174174435,-75.74751900385859
8.089704862348627,9.919311114524213,5.588303500220024,-2.0081859410145277,-7.072764884103807,-10.926918705880704,-2.4079219983532076,-3.604001500564554,-3.6910708794211673,-6.113544432245105
-1.9528959220378244,-3.190836007975985,-4.462977684172539,-23.661846867971132,-36.92737122879887,-35.8803444962105,-9.131567694224263,-13.721449907064821,-11.560296767907452,-140.48958657636337
-6.715955427649796,-11.121018405504005,-10.52065733884444,-40.339994576470716,-58.946686560576296,-50.699515099722724,-17.301351673186307,-24.68573674345791,-20.019417670818072,-240.3503334962303
-5.837446563641741,-9.443094706780421,-8.394969224052753,-37.94835730734052,-58.51667048716596,-46.89118926000073,-20.374120788716816,-29.508564526920882,-24.866602145027233,-241.78101500964706
-7.713112898354678,-11.979915527582689,-10.695756340123785,-39.75025746090566,-61.27170736185136,-48.36202231442261,-27.100720647280685,-37.2617646678719,-32.92802140649388,-277.06327862488723
-1.840472762795466,-2.869230593243984,-2.875039871759718,-24.370235495506915,-33.01372744650323,-28.071616437627107,-34.20253768735242,-49.19000104000532,-43.36489302271328,-219.79775435750744
-2.491319434261688,-3.771244304767407,-3.221800487497038,-26.388313302694595,-37.58534067916266,-31.74503213742687,-55.9184738415799,-81.37728799602857,-69.78388637641852,-312.28269855983723
-2.4542233880447153,-3.6069000836510545,-3.4334115239708742,-25.323652945355327,-36.82917342125017,-33.480425722720895,-55.9546732400331,-78.80106143444334,-73.8935552774408,-313.77707703691027
