,ONI,P_1,P_2,P_3,P_4,P_5,0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,0,P_1,Generacion_Hidro_GWh,P_1,P_2,P_3,P_4,P_5,esc-2,0,P_1,P_2,P_3,P_4
23,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,0.9802004056612895,-0.858084989951239,3077.6832219999997,2741.675139,3006.930357,2826.064577,2951.048917,2843.923213,3757.214411,679.5311890000003,871.8779890000001,739.4246619999994,768.7085159999997,779.4615869999998
24,-0.1,-0.3,-0.3,-0.3,-0.2,-0.1,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,0.9477952646488251,0.9802004056612895,2790.90962,3077.6832219999997,2741.675139,3006.930357,2826.064577,2951.048917,3671.5911109999997,880.6814909999998,679.5311890000003,871.8779890000001,739.4246619999994,768.7085159999997
25,0.0,-0.1,-0.3,-0.3,-0.3,-0.2,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,1.134092704887286,0.9477952646488251,2406.139291,2790.90962,3077.6832219999997,2741.675139,3006.930357,2826.064577,3462.661941,1056.5226499999999,880.6814909999998,679.5311890000003,871.8779890000001,739.4246619999994
26,0.1,0.0,-0.1,-0.3,-0.3,-0.3,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,0.885837054100204,1.134092704887286,2768.447875,2406.139291,2790.90962,3077.6832219999997,2741.675139,3006.930357,3701.0134780000003,932.5656030000005,1056.5226499999999,880.6814909999998,679.5311890000003,871.8779890000001
27,0.2,0.1,0.0,-0.1,-0.3,-0.3,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,0.9661567151276358,0.885837054100204,2732.2833760000008,2768.447875,2406.139291,2790.90962,3077.6832219999997,2741.675139,3680.224108,947.9407319999991,932.5656030000005,1056.5226499999999,880.6814909999998,679.5311890000003
28,0.4,0.2,0.1,0.0,-0.1,-0.3,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,0.9350409313275633,0.9661567151276358,3059.167378,2732.2833760000008,2768.447875,2406.139291,2790.90962,3077.6832219999997,3813.021179,753.8538009999997,947.9407319999991,932.5656030000005,1056.5226499999999,880.6814909999998
29,0.7,0.4,0.2,0.1,0.0,-0.1,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,1.1200158864312324,0.9350409313275633,2968.473487,3059.167378,2732.2833760000008,2768.447875,2406.139291,2790.90962,3602.030915,633.5574279999996,753.8538009999997,947.9407319999991,932.5656030000005,1056.5226499999999
30,0.8,0.7,0.4,0.2,0.1,0.0,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,1.022531257599803,1.1200158864312324,3135.4611059999997,2968.473487,3059.167378,2732.2833760000008,2768.447875,2406.139291,3766.4371539999997,630.976048,633.5574279999996,753.8538009999997,947.9407319999991,932.5656030000005
31,0.9,0.8,0.7,0.4,0.2,0.1,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,-1.8220599480754271,1.1481316805413666,1.022531257599803,3032.251953,3135.4611059999997,2968.473487,3059.167378,2732.2833760000008,2768.447875,3832.3094,800.0574470000001,630.976048,633.5574279999996,753.8538009999997,947.9407319999991
32,1.0,0.9,0.8,0.7,0.4,0.2,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,-1.2250919572207548,1.3146571151754873,1.1481316805413666,2968.720903,3032.251953,3135.4611059999997,2968.473487,3059.167378,2732.2833760000008,3767.794134,799.0732310000003,800.0574470000001,630.976048,633.5574279999996,753.8538009999997
33,1.2,1.0,0.9,0.8,0.7,0.4,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,-0.2615579536592225,0.760663436392782,1.3146571151754873,2980.5491,2968.720903,3032.251953,3135.4611059999997,2968.473487,3059.167378,3886.198879,905.6497789999999,799.0732310000003,800.0574470000001,630.976048,633.5574279999996
34,1.3,1.2,1.0,0.9,0.8,0.7,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.7913186535264722,0.04953302358130247,0.760663436392782,2988.1476079999998,2980.5491,2968.720903,3032.251953,3135.4611059999997,2968.473487,3753.654329,765.5067210000002,905.6497789999999,799.0732310000003,800.0574470000001,630.976048
35,1.1,1.3,1.2,1.0,0.9,0.8,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.2816038053884677,-0.6132556080593493,0.04953302358130247,2839.691375,2988.1476079999998,2980.5491,2968.720903,3032.251953,3135.4611059999997,3904.1648259999997,1064.4734509999998,765.5067210000002,905.6497789999999,799.0732310000003,800.0574470000001
36,0.9,1.1,1.3,1.2,1.0,0.9,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-0.7722389404888236,-1.0245370543957666,-0.6132556080593493,2816.493245,2839.691375,2988.1476079999998,2980.5491,2968.720903,3032.251953,3810.942054,994.448809,1064.4734509999998,765.5067210000002,905.6497789999999,799.0732310000003
37,0.6,0.9,1.1,1.3,1.2,1.0,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-0.24849481249209365,-1.4407349940428182,-1.0245370543957666,2671.861034,2816.493245,2839.691375,2988.1476079999998,2980.5491,2968.720903,3550.147495,878.2864610000001,994.448809,1064.4734509999998,765.5067210000002,905.6497789999999
38,0.4,0.6,0.9,1.1,1.3,1.2,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-0.7393411880529221,-1.440029317761224,-1.4407349940428182,2940.785144,2671.861034,2816.493245,2839.691375,2988.1476079999998,2980.5491,3890.9730630000004,950.1879190000004,878.2864610000001,994.448809,1064.4734509999998,765.5067210000002
39,0.0,0.4,0.6,0.9,1.1,1.3,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,0.3764889583366661,-1.0043703409581766,-1.440029317761224,2902.478209,2940.785144,2671.861034,2816.493245,2839.691375,2988.1476079999998,3693.8220130000004,791.3438040000005,950.1879190000004,878.2864610000001,994.448809,1064.4734509999998
40,-0.3,0.0,0.4,0.6,0.9,1.1,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6723833507760049,-0.6094823532969913,-1.0043703409581766,3061.429609,2902.478209,2940.785144,2671.861034,2816.493245,2839.691375,3887.212048,825.7824390000001,791.3438040000005,950.1879190000004,878.2864610000001,994.448809
41,-0.2,-0.3,0.0,0.4,0.6,0.9,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.4402282804204433,-0.6336764597742649,-0.6094823532969913,3070.1297809999996,3061.429609,2902.478209,2940.785144,2671.861034,2816.493245,3642.1077119999995,571.9779309999999,825.7824390000001,791.3438040000005,950.1879190000004,878.2864610000001
42,0.1,-0.2,-0.3,0.0,0.4,0.6,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-1.3777051385303405,-0.6339411286741161,-0.6336764597742649,3399.003247,3070.1297809999996,3061.429609,2902.478209,2940.785144,2671.861034,3902.8970630000003,503.89381600000024,571.9779309999999,825.7824390000001,791.3438040000005,950.1879190000004
43,0.2,0.1,-0.2,-0.3,0.0,0.4,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-1.6913141018018603,-0.5120539692039056,-0.6339411286741161,3265.9017989999998,3399.003247,3070.1297809999996,3061.429609,2902.478209,2940.785144,3886.892708,620.9909090000001,503.89381600000024,571.9779309999999,825.7824390000001,791.3438040000005
44,0.3,0.2,0.1,-0.2,-0.3,0.0,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,-1.577903021761404,-0.38027947142701446,-0.5120539692039056,3111.001938,3265.9017989999998,3399.003247,3070.1297809999996,3061.429609,2902.478209,3836.033215,725.031277,620.9909090000001,503.89381600000024,571.9779309999999,825.7824390000001
45,0.3,0.3,0.2,0.1,-0.2,-0.3,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-1.0621611935775719,0.0839112946995512,-0.38027947142701446,3312.710260000001,3111.001938,3265.9017989999998,3399.003247,3070.1297809999996,3061.429609,3941.701163,628.990902999999,725.031277,620.9909090000001,503.89381600000024,571.9779309999999
46,0.4,0.3,0.3,0.2,0.1,-0.2,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,-1.4571049554252435,-0.0621811326746404,0.0839112946995512,3303.374775,3312.710260000001,3111.001938,3265.9017989999998,3399.003247,3070.1297809999996,3809.50176,506.1269849999999,628.990902999999,725.031277,620.9909090000001,503.89381600000024
47,0.4,0.4,0.3,0.3,0.2,0.1,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,-1.454037524734747,0.498876876218725,-0.0621811326746404,3341.4787969999998,3303.374775,3312.710260000001,3111.001938,3265.9017989999998,3399.003247,3963.968665,622.4898680000001,506.1269849999999,628.990902999999,725.031277,620.9909090000001
48,0.4,0.4,0.4,0.3,0.3,0.2,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,-0.905887507117368,0.41445293646947207,0.498876876218725,3231.763796,3341.4787969999998,3303.374775,3312.710260000001,3111.001938,3265.9017989999998,3810.3605079999998,578.5967119999996,622.4898680000001,506.1269849999999,628.990902999999,725.031277
49,0.3,0.4,0.4,0.4,0.3,0.3,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.42279591581719855,0.011655190172471843,0.41445293646947207,3048.825833,3231.763796,3341.4787969999998,3303.374775,3312.710260000001,3111.001938,3743.73415,694.9083170000004,578.5967119999996,622.4898680000001,506.1269849999999,628.990902999999
50,0.2,0.3,0.4,0.4,0.4,0.3,-0.5242868058036587,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.4461658146736403,-0.25270815870304386,0.011655190172471843,3155.4868109999998,3048.825833,3231.763796,3341.4787969999998,3303.374775,3312.710260000001,4027.506418,872.0196070000002,694.9083170000004,578.5967119999996,622.4898680000001,506.1269849999999
51,0.2,0.2,0.3,0.4,0.4,0.4,-0.46585277341592135,-0.5242868058036587,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,-0.9897040382250298,-0.3358759124361667,-0.25270815870304386,3127.273346,3155.4868109999998,3048.825833,3231.763796,3341.4787969999998,3303.374775,3790.606762,663.3334159999999,872.0196070000002,694.9083170000004,578.5967119999996,622.4898680000001
52,0.2,0.2,0.2,0.3,0.4,0.4,-0.10083802481802547,-0.46585277341592135,-0.5242868058036587,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,-0.9398932646962916,0.1257348955171408,-0.3358759124361667,3405.550832,3127.273346,3155.4868109999998,3048.825833,3231.763796,3341.4787969999998,3931.0971640000002,525.5463320000003,663.3334159999999,872.0196070000002,694.9083170000004,578.5967119999996
53,0.3,0.2,0.2,0.2,0.3,0.4,0.4571280314070034,-0.10083802481802547,-0.46585277341592135,-0.5242868058036587,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,-1.3379233922341562,0.4471891850668943,0.1257348955171408,3091.695486,3405.550832,3127.273346,3155.4868109999998,3048.825833,3231.763796,3835.5930399999997,743.8975539999997,525.5463320000003,663.3334159999999,872.0196070000002,694.9083170000004
54,0.5,0.3,0.2,0.2,0.2,0.3,-0.2936744524263083,0.4571280314070034,-0.10083802481802547,-0.46585277341592135,-0.5242868058036587,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,-0.8323911065476588,0.6207715076548734,0.4471891850668943,3397.808256000001,3091.695486,3405.550832,3127.273346,3155.4868109999998,3048.825833,3937.4501530000002,539.6418969999991,743.8975539999997,525.5463320000003,663.3334159999999,872.0196070000002
55,0.6,0.5,0.3,0.2,0.2,0.2,-0.15694903543775038,-0.2936744524263083,0.4571280314070034,-0.10083802481802547,-0.46585277341592135,-0.5242868058036587,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,-0.054377307166007215,0.6967498946478725,0.6207715076548734,3458.4245189999997,3397.808256000001,3091.695486,3405.550832,3127.273346,3155.4868109999998,4027.2172130000004,568.7926940000007,539.6418969999991,743.8975539999997,525.5463320000003,663.3334159999999
56,0.7,0.6,0.5,0.3,0.2,0.2,-0.03287374044056638,-0.15694903543775038,-0.2936744524263083,0.4571280314070034,-0.10083802481802547,-0.46585277341592135,-0.5242868058036587,-0.7673633043200305,-0.3352995369748582,-0.08516048302253285,-0.7331387880094741,1.3013833017139402,0.6967498946478725,3204.760784,3458.4245189999997,3397.808256000001,3091.695486,3405.550832,3127.273346,3900.05419,695.2934059999998,568.7926940000007,539.6418969999991,743.8975539999997,525.5463320000003
