Fecha,Mes,Precio
2010-10,2010-10,131.0642105263158
2010-10,2010-11,125.64368421052632
2010-10,2010-12,130.47631578947372
2010-10,2011-01,137.87842105263158
2010-11,2010-11,109.87949999999998
2010-11,2010-12,124.238
2010-11,2011-01,131.8905
2010-11,2011-02,132.78947368421052
2010-12,2010-12,80.65590909090908
2010-12,2011-01,110.15727272727273
2010-12,2011-02,117.18863636363636
2010-12,2011-03,124.12590909090908
2011-01,2011-01,93.34399999999998
2011-01,2011-02,109.8315
2011-01,2011-03,114.50050000000002
2011-01,2011-04,117.382
2011-02,2011-02,115.5475
2011-02,2011-03,119.508
2011-02,2011-04,116.448
2011-02,2011-05,110.1885
2011-03,2011-03,97.63227272727272
2011-03,2011-04,107.55909090909093
2011-03,2011-05,107.74500000000002
2011-03,2011-06,109.43
2011-04,2011-04,91.2457894736842
2011-04,2011-05,100.95526315789472
2011-04,2011-06,103.27263157894735
2011-04,2011-07,104.95842105263156
2011-05,2011-05,66.80636363636363
2011-05,2011-06,86.69500000000002
2011-05,2011-07,92.46772727272727
2011-05,2011-08,98.23409090909092
2011-06,2011-06,69.35549999999999
2011-06,2011-07,86.57750000000004
2011-06,2011-08,90.243
2011-06,2011-09,98.48999999999998
2011-07,2011-07,64.10894736842106
2011-07,2011-08,87.63684210526316
2011-07,2011-09,95.3042105263158
2011-07,2011-10,99.31842105263159
2011-08,2011-08,87.3340909090909
2011-08,2011-09,95.83954545454547
2011-08,2011-10,101.41136363636365
2011-08,2011-11,101.00499999999998
2011-09,2011-09,94.49363636363636
2011-09,2011-10,102.16454545454545
2011-09,2011-11,100.8681818181818
2011-09,2011-12,104.91181818181818
2011-10,2011-10,87.3875
2011-10,2011-11,99.175
2011-10,2011-12,102.6415
2011-10,2012-01,113.7485
2011-10,2012-02,123.84388888888887
2011-10,2012-03,125.84777777777776
2011-10,2012-04,120.47333333333331
2011-10,2012-05,105.26111111111112
2011-10,2012-06,100.60666666666664
2011-10,2012-07,100.31444444444445
2011-10,2012-08,104.16555555555556
2011-10,2012-09,110.82333333333334
2011-10,2012-10,112.96388888888892
2011-11,2011-11,78.464
2011-11,2011-12,90.681
2011-11,2012-01,109.5615
2011-11,2012-02,121.59899999999999
2011-11,2012-03,123.1275
2011-11,2012-04,113.28850000000004
2011-11,2012-05,104.16
2011-11,2012-06,98.52349999999998
2011-11,2012-07,96.609
2011-11,2012-08,100.3035
2011-11,2012-09,107.0645
2011-11,2012-10,105.4295
2011-11,2012-11,102.04899999999999
2011-12,2011-12,69.52149999999999
2011-12,2012-01,106.533
2011-12,2012-02,119.961
2011-12,2012-03,117.803
2011-12,2012-04,111.6655
2011-12,2012-05,103.30249999999998
2011-12,2012-06,100.4475
2011-12,2012-07,97.5965
2011-12,2012-08,98.2845
2011-12,2012-09,107.3895
2011-12,2012-10,104.93850000000002
2011-12,2012-11,103.24799999999999
2011-12,2012-12,122.0125
2012-01,2012-01,73.37476190476191
2012-01,2012-02,113.46
2012-01,2012-03,112.36333333333334
2012-01,2012-04,109.53285714285713
2012-01,2012-05,102.96142857142857
2012-01,2012-06,100.19571428571429
2012-01,2012-07,95.72714285714285
2012-01,2012-08,99.45714285714287
2012-01,2012-09,108.05761904761906
2012-01,2012-10,108.55333333333333
2012-01,2012-11,105.89380952380951
2012-01,2012-12,121.20476190476192
2012-01,2013-01,130.04761904761904
2012-02,2012-02,72.57809523809523
2012-02,2012-03,94.1904761904762
2012-02,2012-04,102.73809523809523
2012-02,2012-05,100.50428571428571
2012-02,2012-06,98.7547619047619
2012-02,2012-07,94.27285714285715
2012-02,2012-08,96.92095238095236
2012-02,2012-09,102.60095238095236
2012-02,2012-10,104.4495238095238
2012-02,2012-11,102.72714285714287
2012-02,2012-12,119.45904761904764
2012-02,2013-01,127.1952380952381
2012-02,2013-02,128.24857142857144
2012-03,2012-03,124.45571428571431
2012-03,2012-04,113.56047619047621
2012-03,2012-05,106.56190476190477
2012-03,2012-06,101.85095238095238
2012-03,2012-07,101.1904761904762
2012-03,2012-08,109.06619047619049
2012-03,2012-09,110.96761904761904
2012-03,2012-10,112.67857142857143
2012-03,2012-11,109.4757142857143
2012-03,2012-12,123.23809523809523
2012-03,2013-01,129.30238095238096
2012-03,2013-02,133.38571428571427
2012-03,2013-03,132.64714285714285
2012-04,2012-04,72.75473684210526
2012-04,2012-05,97.46526315789473
2012-04,2012-06,99.41736842105264
2012-04,2012-07,99.44736842105264
2012-04,2012-08,109.12105263157896
2012-04,2012-09,108.94631578947369
2012-04,2012-10,112.1921052631579
2012-04,2012-11,112.70105263157896
2012-04,2012-12,123.79263157894735
2012-04,2013-01,130.1578947368421
2012-04,2013-02,135.28947368421052
2012-04,2013-03,135.11
2012-04,2013-04,128.3384210526316
2012-05,2012-05,60.678095238095246
2012-05,2012-06,93.78333333333332
2012-05,2012-07,95.4904761904762
2012-05,2012-08,102.78809523809522
2012-05,2012-09,107.26571428571428
2012-05,2012-10,107.96952380952379
2012-05,2012-11,108.37047619047618
2012-05,2012-12,123.36333333333332
2012-05,2013-01,130.21333333333334
2012-05,2013-02,134.78571428571428
2012-05,2013-03,134.54761904761904
2012-05,2013-04,127.77238095238094
2012-05,2013-05,119.19190476190478
2012-06,2012-06,89.70315789473682
2012-06,2012-07,97.83684210526316
2012-06,2012-08,107.31052631578949
2012-06,2012-09,109.43052631578949
2012-06,2012-10,112.64105263157896
2012-06,2012-11,109.94736842105264
2012-06,2012-12,123.83526315789473
2012-06,2013-01,131.6615789473684
2012-06,2013-02,134.8421052631579
