ONI_11_dem_1,ONI_11_dem_2,ONI_11_dem_3,ONI_49_dem_1,ONI_49_dem_2,ONI_49_dem_3,ONI_89_dem_1,ONI_89_dem_2,ONI_89_dem_3,Suma
-10.713981402101883,-15.438022395431853,-10.361180640340544,-13.279674994535695,-18.700463247060483,-13.45643395193468,-0.0,-0.0,-0.0,-81.94975663140514
-3.3678532028535346,-6.099577465874446,-4.005863354408261,-9.130059522680044,-13.964944006985604,-9.655897265521634,-3.871297415415787,-4.422382119905145,-3.9392646244675396,-58.45713897811199
-0.691227643426741,-1.987850594916392,-1.3006229365016904,-5.911273962039679,-9.288869051296098,-5.184437518734494,-0.8141546413025839,-0.7880736144228031,-0.7635893166169222,-26.730099279257406
-1.3824407302879427,-2.7691787282794675,-1.9268388218125376,-5.728359644581875,-9.170454959964667,-6.181337692688848,-1.9103576912985527,-2.4266996440207125,-2.1239385609587647,-33.61960647389337
-2.871866590288887,-4.4078905405161235,-3.4841411739014774,-14.849744965641737,-20.00723529832018,-16.052210793773025,-8.34908371276954,-11.350195109659474,-8.525665854613512,-89.89803403948395
-4.008528393159935,-5.999961494216806,-4.664308718411722,-15.876837818263397,-21.89338731384703,-17.320308337820983,-12.484946368396638,-17.908055860864657,-13.160733344212808,-113.31706764919397
-5.571521478810366,-8.196383526680032,-6.079374749944989,-13.605594757070925,-18.00066875325694,-14.55911809773051,-15.986615579664608,-22.057223566533846,-16.756739387682078,-120.81323989737429
-6.023130984225422,-8.079977923723911,-6.1962745410234055,-14.528846301176745,-18.10471503645017,-13.925880945568116,-16.14964484463289,-22.770601614585324,-17.225702487513257,-123.00477467889924
-8.401074267627516,-10.774170954646795,-8.496147505930189,-14.483216425877382,-19.253103132877957,-14.754663729365959,-17.72437821152022,-25.290100826149313,-18.93216007338081,-138.10901512737613
-35.36514123378385,-46.10978781568291,-37.28385703828513,-5.717329490924354,-8.294956079402096,-5.841440237303741,-4.963422475907541,-6.597553425082234,-5.1173118382686145,-155.29079963464048
-54.54858765171592,-75.3122096528071,-60.609962036857105,-4.065883323489523,-6.530843409894698,-5.0937268026007985,-6.9789440075543165,-9.27341479839821,-7.688204348921386,-230.10177603223903
-48.141057276854106,-67.49479126018522,-55.29444750122266,-2.8002938350990636,-4.3310332027790786,-3.74860770027607,-0.0,-0.0,-0.0,-181.8102307764162
-24.799437942387687,-33.17671619262439,-26.662116437740867,-0.34851399456779375,-0.6504275767965574,-0.48453971520012074,-0.0,-0.0,-0.0,-86.12175185931741
-38.593881611608275,-55.260877087531945,-42.9164419574174,-6.00787754002219,-7.661567846345504,-5.80712774193645,-0.0,-0.0,-0.0,-156.24777378486175
-29.158363543842036,-38.62803352594197,-30.630949469459352,-15.915076557345749,-23.611181624418037,-16.554371006573735,-0.6471669568917059,-0.8776363269911586,-0.6696711802186107,-156.69245019168235
-20.70916549548397,-27.992038148490987,-21.251486720359985,-31.321173157908284,-44.11107102542087,-32.96223603845682,-3.2403627265893085,-4.28586580137536,-3.6421536555796385,-189.51555276966525
-4.907288319309727,-8.598914573930966,-5.0279640593848525,-17.28841713654818,-24.011059234209796,-18.876082621572817,-3.2029197546299772,-4.042789840306903,-3.5336446194389532,-89.48908015933219
-4.452988003442766,-6.823893512620953,-4.497239357324849,-27.586004032338998,-41.07963624465038,-29.481841689014924,-9.854526764418512,-13.477882522554411,-10.717414171436001,-147.97142629780177
-7.872263873418867,-10.22424853065861,-7.480450341054288,-33.24279532572079,-48.7548922263421,-35.76119689054135,-13.465000150481282,-17.931801241957125,-14.496849879031153,-189.22949845920556
-5.409427007476265,-7.915932279145503,-5.178668536001709,-36.318705004998414,-51.83838304874105,-40.28282772080362,-20.100689696202043,-25.38782311866108,-19.841789467479906,-212.2742458795096
-7.943162417546713,-11.144977190344243,-7.841760362329249,-35.93671984391459,-46.69352319319211,-38.11968054104963,-20.864659314125152,-29.47110776062084,-21.891862353913805,-219.90745297703631
-1.1824019570522142,-1.7564062051556273,-1.5256260025700599,-17.126835376014178,-22.75506895456595,-17.91447380455726,-25.204529705139198,-36.80764488899236,-28.70204326399675,-152.97503015804358
-1.842432242515084,-2.7630318941837495,-2.079500926132889,-25.80330215573805,-35.171126279930135,-25.932145655232656,-43.71046852738607,-63.954432872524634,-46.65541732000316,-247.91185787364643
-1.2344970731344098,-1.9419861185805343,-1.4924040624014683,-20.843156762718383,-29.045105438294918,-23.587465027521098,-42.95043563399519,-64.76830448835645,-47.411877333991626,-233.27523193899412
