0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-402.63140236360687,-363.6083406929296,-317.5225517457278,-546.056714157124,-498.4125917399374,-450.78253447384725,-311.1360736070217,-456.9084953484064,-190.45814772792482,-442.8945675915935,-493.1135904355017,-507.4527792042022,-521.5878767610013,-229.37132303207397,-458.9355270868525,-404.2183380090355,-484.5913569097412,-532.5195272138999,-201.2289880513771,-494.16342814128416,-404.37561167434205,-786.2036886267792,-504.96956648688433,-479.3866491142593,-375.38468242629324,-448.2640556838637,-276.24142725294405,-460.5931434146346,-500.1245242441356,-953.0418674448285,-420.30368412171856,-449.39648782235577,-503.2618359663626,-378.03523789131816,-545.7655924886658,-497.27297292852757,-526.6968893293873,-527.623730339046,-413.5237098247235,-373.86626150065933,-609.5796054364746,-509.46947469723773,-334.1806839289053,-597.9851373581982,-373.32940770754124,-331.700988771084,-500.20638066783647,-516.6977698288067,-604.75789969481,-681.3468469375264,-443.2257955891464,-234.6156943613122,-582.7752562801758,-200.22817496036953,-616.0122407839852,-421.8814026467412,-388.96233727190906,-352.6445868051055,-557.9625029586964,-814.4488970370924,-471.3902086110544,-339.0410485084195,-404.9837632202149,-487.726910597385,-195.07157130339772,-356.1085773944161,-223.57404043298618,-290.4108278592223,-375.8857822782745,-221.79264416503963,-487.3776249572078,-389.2143004090334,-679.2648531865677,-253.6678865311918,-585.1887470068283,-522.5974715165912,-335.45024896281825,-409.886188676334,-549.8673924960069,-292.6319699717386,-449.0416786115579,-353.73397470081454,-487.1730120985487,-603.716511754045,-660.7343848711073,-600.2182467306288,-409.5494645302049,-418.2404430382617,-355.6750622570054,-334.9740658319291,-489.42861079703357,-746.5254291384688,-672.0190384266227,-349.6141453791471,-303.0500814551542,-464.87750047906763,-286.61037187295153,-317.5625148846018,-234.561879551547,-537.961667596473
-167.8769651086049,66.94542293968016,-122.65695541430392,-202.00678221906134,-355.26080345070426,61.69090425602093,42.591859211337635,-113.76356930265689,17.76912923514294,-240.12109156683965,-207.08321008506124,-30.251979514303684,-246.45084952673523,-134.47135195733023,-212.1146249344343,-1.852316721673958,-352.91480636254863,-209.53869688717572,-55.96320583695018,-247.5943377453438,-98.68209373478038,-561.9668719761003,-226.75070314667522,-100.46596338419198,-251.52619894423816,-41.41336134886399,-229.4155074678278,-267.8099769834427,-372.71432872144425,-414.47700855418117,-198.60861417697487,-238.3951553489431,-242.16224244530582,-192.82268841634658,-222.22276165045508,-299.6832600112552,-473.0779601947448,-322.32511396792546,-48.7913096944236,-173.65361451877476,-185.10563705025123,-505.4708941239217,-118.72612524440893,-153.3540622125259,-282.4374686723839,15.500264965496513,-369.2664727214653,-306.3297640339243,-130.3723778882482,-469.8438813970658,-358.43340161557165,-60.53746141891742,-420.1612106976019,-88.0015841416901,-243.04438271045166,-159.72785572160916,-238.9625080616318,-129.91624689312204,-699.4141976546309,-40.64931331670664,-153.07599921536513,-142.7655694173488,-389.4680837776181,-25.238837779094467,-123.96019066594118,-156.4264595951799,-138.55880418581143,-119.37992982116788,-441.00715727973073,-45.80674663005618,-331.93351758251544,-69.93242230682193,-530.5711721781377,-109.07987938457069,-102.98086314923563,-374.2453203435786,-121.23024245629352,-29.33914646215686,-248.59506674631933,-317.96928616420274,78.22177269627377,88.99636268138266,-205.40701393943579,-328.96025570616047,-343.9333013890027,-396.0240645919635,-127.32812013021675,-162.36714371919578,-193.38095107476835,-115.07904214071772,-176.18749149765296,-237.1139250258886,-161.54792639754208,-373.83744292556554,-39.18434139851678,-97.78509471703165,-108.13887206611759,-208.53388401731564,7.878923596207471,-175.7978479322423
-377.2375098451989,-622.6689492891769,-252.2934767675644,-348.96455535996535,-762.64667209765,-277.98317065371697,-360.31989991959443,-578.6787856125825,-485.5159448450624,-454.4735619612367,-656.5212271216749,-500.354698408365,-470.45042483034496,-577.649348137172,-442.0478479434168,-234.92773129158155,-430.55243847182174,-402.8835056636644,-503.3553562631003,-609.0135991049381,-349.2522268097852,-616.5899032695847,-752.3804924630617,-571.7823902711743,-665.6647384144451,-271.2871322280502,-167.59991638020512,-565.3534981303073,-607.4266468903825,-763.7740613109615,-478.5440151871259,-497.80449158240054,-581.6359777531777,-478.04587670418783,-380.97886870166036,-822.8508037919235,-590.9642327743848,-1024.7088693549256,-378.76171760218307,-632.6839050132996,-639.8494434150291,-551.097202244978,-538.5749984325055,-597.702053062764,-608.7732479175247,-119.87694810322108,-1147.6206896206345,-803.0303506206394,-351.2668437142208,-481.6589236988705,-494.9513041241734,-167.53775911365796,-414.12070967442725,-329.53953672111896,-752.8919219339323,-224.18775609238213,-448.74871985471015,-448.1495798518013,-851.4802880675484,-452.39758096126974,-197.9893955034284,-213.54991348740504,-324.3094176676298,-229.13765545711038,-488.47029511397574,-477.5410177192055,-316.6842786288901,-530.5328340891265,-802.5782945055007,-333.9280787328294,-292.3534307719388,-301.92786409821196,-586.6669857230002,-447.7134261212329,-846.5033014729402,-660.4548474143892,-262.7244430274549,-137.91533855244813,-420.94298805752254,-788.3899593318029,-190.06593337993291,-317.7572314381818,-408.7510179552916,-718.3472685173388,-816.6256076151553,-1186.6962852225222,-391.93402604519423,-449.9564198290413,-596.2362051978321,-337.9516370661034,-425.17573372955616,-233.97740398594516,-500.3613380745641,-140.85210684104754,-303.5016478360828,-316.75152880235913,-303.0809836963693,-633.1512716447044,-221.99376145823027,-549.6831514596977
-454.2233419141278,-629.1165550356834,-304.61359577088285,-403.41205833522986,-667.2945110492927,-226.39659808579768,-150.63340531304868,-344.1683618805598,-495.04904999435337,-385.0648270214532,-726.51641368667,-269.048037712913,-277.1421431167058,-163.62874408597798,-666.5951252650436,-189.51969983289598,-310.7448637933139,-476.12923147926335,-703.0924444032021,-319.1633144621187,-525.3217097937712,-796.3557915116526,-766.2299115856945,-463.3798640548073,-563.4862319609401,-389.9291128708272,-328.0848195514767,-1050.5042877866076,-500.66626608581623,-760.2900798820351,-526.3799615174174,-700.1568851452922,-393.4229440663099,-466.6069132537026,-362.3699190751523,-320.68177820607104,-621.0405445521718,-383.4163236822368,-474.91795840208636,-421.9302528337506,-487.1906700655171,-624.1059271153798,-394.2216325251028,-364.26543057076367,-738.1694765988901,-216.51565009825822,-587.8121707812819,-738.7368851623273,-377.3879336517982,-668.5758870841684,-682.1446562630632,-496.4428025485979,-461.77645139123774,-442.6525503522705,-637.7673389560107,-319.0567279027007,-606.0785252233132,-408.71203246340565,-954.6573527790692,-380.9382314405418,-226.15279668409636,-289.32259059410796,-344.4776161323432,-404.78098708714424,-639.9825369700529,-218.26649678458335,-352.1360120032151,-685.8635260332125,-1181.4116589685784,-298.02400247979756,-453.64422244444575,-279.5314881733714,-702.3481479254904,-275.45885265429615,-800.4227548196964,-542.7488541491573,-249.67041408552615,-266.10314949076337,-245.60496126956252,-432.80205891261096,-141.87132342395785,-320.7620925688185,-313.6886304398538,-401.7162459060303,-339.3559680015643,-871.8361615600868,-434.86168651425237,-397.8306119970571,-471.42632814831177,-451.03421480619625,-419.0136646459399,-149.90734978290908,-434.9575499129422,-268.71161848345616,-395.7179470608876,-438.35052926159665,-576.5447351816641,-585.6764399830317,-191.23638186146263,-300.67490375921534
-623.1848732873198,-752.5670533839152,-401.2137309491748,-871.7307550696535,-993.5651614434398,-449.6288974478587,-397.5160047506152,-409.5979248623485,-364.2987483697479,-1062.0958119945508,-509.52537942619784,-401.85876746059984,-551.2912601378694,-744.8538561352882,-784.8671423443295,-371.67456040151495,-334.8847542225289,-664.6435054473725,-614.1600078223858,-389.9607225072804,-769.3976942578302,-818.0389313963885,-717.8099139123931,-672.5491831978493,-968.8751174497138,-164.09337195594145,-276.91131566233065,-1253.5544070311605,-1035.3922065518066,-973.720465638243,-806.1568361038594,-1041.2891495602767,-154.61506140127852,-1026.5080344727999,-483.7402560208099,-374.9929406207029,-1195.4087142477836,-774.9310906188746,-572.2107020868948,-1247.0384644755013,-558.3683114900696,-660.9116517429968,-492.9656176133597,-607.7671209282789,-579.256588966028,-173.19730417235877,-1126.4563753901093,-854.8376088877189,-376.1161095219517,-238.63479737712765,-755.1425223530141,-681.3837518772355,-438.28037132137575,-639.204706494812,-1173.3427277536746,-597.6438921224988,-931.8126445653768,-399.79141780579135,-1236.3591610152912,-806.0963357915332,-269.22347514627774,-178.2271659648033,-544.9994427517267,-698.0235011717966,-793.7286897693173,-70.21148542987999,-350.8746837568836,-809.6561666183313,-712.4713094145097,-553.0348974091319,-483.53778054411345,-321.0543465486451,-554.5897955411972,-383.9416264095499,-1122.9926987058939,-579.0457853933567,-367.1003553996115,-577.1576233135868,-446.6519894948066,-298.1724187513841,-337.4762763078566,-519.0726681339052,-288.1090200736425,-490.79882990358993,-212.05446693218875,-754.7535912059782,-786.8803342436545,-576.2485184629331,-687.0219745190013,-714.0460246707739,-646.3055324815139,-357.67412587622647,-1005.740977953514,-131.55421689216007,-306.0699107932899,-361.855652769011,-938.5312240399055,-622.4839873745957,-157.26296663359648,-459.9574645184793
-190.86564753872426,-545.6577057326537,-165.35498784245488,-556.4926560434773,-477.31297469900517,-72.17345173979965,-96.20759796802895,-344.7634188359924,-310.6740476635042,-321.4764583573502,-339.4982460007353,-170.9669148819571,-373.1464918244012,-427.54854343249826,-420.8304529196797,-179.66150972330797,-244.9017599176367,-688.618473119311,-362.0785399149984,-410.974884075466,-661.8703094934183,-664.2630904295752,-521.6169056258459,-42.76997397192389,-581.942994267372,-85.99717356475969,-334.4104998529584,-512.6908255179397,-319.95120080142544,-427.46551767042286,-441.0129764311929,-553.5425364417923,-262.6267001162505,-488.61388038421137,-494.10602389592486,-85.0113868045687,-447.5605979094212,-273.78325427920777,-316.1211402112284,-543.794171778814,-147.20161864186548,-217.8068664224187,-270.06371990014827,28.323064181858513,-136.71414177105635,-151.22343041272916,-337.10167461319577,-348.06264564175547,-145.4465987481064,-16.433547671895496,-223.161421340194,-524.9304341939807,-270.0758213001128,-255.18404966393825,-423.08598914914035,-327.78337294994867,-308.67914801856966,-92.60843829217384,-440.91882286570376,-249.29306575343594,-298.61829671500175,42.42016617440538,-284.70257802707545,-200.38450734037883,-463.7153903152057,-39.0324625075383,-397.2125182504549,-438.75667024930897,-254.61951114296176,-264.2927848855618,-308.9451033366506,-419.8549491145825,-657.926639944254,-156.9329623190962,-252.18836993091838,-338.45828105504074,-176.42087408241218,-494.63351523742085,-161.18688313423786,-312.61324598909425,-152.09096831547896,-354.00145336751973,-213.10981452948477,-214.0012922090758,-16.50611060154489,-459.47831843405106,-707.9520492331532,-441.0672100035722,-22.686066381200078,-236.80905453145988,-334.6856681467509,-115.98315689516966,-477.55702015030147,-99.44519267272523,-187.26387635814933,-255.4241880718041,-232.21116896530123,-408.82797002995824,-133.3557905871682,-334.69890877307637
-826.6980267101153,-443.5875847905188,-360.98022890434163,-776.3725128779597,-858.8864200968076,-162.3259691825483,-401.1441723285402,-314.89114342718074,-223.00033325786558,-516.8866158396553,-446.6416006309141,-517.784194795621,-439.84013116714937,-333.7163027610137,-361.016467409008,-333.4410112128867,-290.6728683233266,-1060.1469943195116,-167.1848498364634,-646.0397485855864,-875.5312112181966,-708.2805330588486,-486.12866029509064,-321.5640556728365,-1021.5008804656134,-472.8010223305788,-531.5494478715602,-368.459595075911,-836.4499487766325,-672.7876064657088,-422.2373262441753,-462.7025451500532,-469.9178613792267,-851.5087878666675,-512.4382055770961,-194.17342749957453,-309.93057111181406,-429.3315259912541,-544.6321923183638,-960.5838291616233,-296.22252950571567,-428.84160425943685,-691.4445502969576,-266.3405463676878,-190.58565220092936,-98.88856682943901,-178.416319038292,-198.84110812438018,-559.7621893742407,-195.17105019405648,-472.18163395432134,-760.3397879504246,-385.22931865834346,-558.8770722114717,-384.94198486639607,-679.5232435906833,-406.60130525667876,-476.39991763720354,-396.775628488041,-685.7184802190736,-434.01785856060496,-280.71135808432473,-318.79319274354793,-330.1816518986783,-245.76717805067562,-253.7234449747067,-310.96944227044094,-657.6237180091802,-347.9530412360398,-484.2011534948176,-173.48222755687993,-286.3452851692372,-640.4785440588248,-515.8200379259921,-654.9239852418643,-565.1076347600008,-399.333768182512,-846.8903338229788,-522.2950277472372,-469.6449626918097,-273.4590074505908,-540.7174525817783,-308.53954150949664,-522.2242464029671,-344.6813938597536,-236.00935761100277,-585.9193855826587,-373.2529625038661,-264.13183657651393,-220.07954633703343,-578.9033541928818,-451.40293687315705,-890.5842741942931,-429.0253129803609,-273.3293074180798,-294.46788256697437,-343.4063582640463,-484.7703972266769,-382.5895785380004,-713.9111704510982
-1036.7332844550285,-459.7022190863695,-484.5289367889352,-1083.475112866314,-737.3404637413166,-223.34637869273848,-355.3482404557112,-338.68952304796323,-539.6647698771151,-283.2060957845898,-355.40182988732556,-844.01777804513,-700.2810628692616,-271.5536899873531,-280.3722823659157,-278.03782207333916,-574.0971935104698,-457.493078007117,-272.8567213228713,-1371.1007591322045,-443.7360967208815,-383.8490324696303,-572.6446938692062,-512.9142843808316,-977.1989847478558,-499.31806456985,-482.62806930551164,-302.4166007581223,-445.2352205801834,-485.5445785168233,-624.0274921591554,-626.2855329294348,-740.8337519342903,-742.600690151566,-412.8788251005211,-461.32458725273193,-477.7788631016033,-594.0745233544443,-629.9873859465167,-532.8877185094162,-422.8423733310734,-593.1495562442177,-670.8465491884327,-416.6700583220311,-263.96632239317034,-283.28517323295114,-223.25887370806817,-294.7203587395272,-378.8638336043788,-251.4203262660103,-670.4559308131213,-651.5311343131184,-479.07232551881214,-731.865212383488,-236.10415483538588,-563.631875813142,-317.4565219786215,-664.0183297747154,-681.368515690412,-524.3354865516324,-433.9238885307916,-314.08535157730023,-325.22554425573367,-532.8172770306595,-485.04052733793935,-270.15755396263717,-709.6080159861508,-755.0608157949774,-389.8284155973025,-542.9627760002071,-320.6886561147875,-296.47230676182164,-524.46034020237,-458.4740935123109,-906.2942708815151,-489.25142623888644,-268.7969873687289,-763.0178307758413,-536.2257733205353,-654.3175435725341,-147.47289778019785,-525.8034528019369,-363.6784142689612,-448.75148535347887,-389.04017776351577,-252.31547872739372,-575.6494382774367,-876.5342445095985,-416.64027164397214,-435.79328422909407,-525.880183962328,-276.5505179326682,-682.9574929732566,-618.5015269038041,-169.45983802378828,-421.6404176492815,-536.314249384866,-642.825312315519,-454.6651610379538,-322.6374212968333
-1222.9255343635955,-504.796885664916,-545.1385306003218,-813.2106813054147,-734.3573773249733,-243.70284627287492,-639.8959805667984,-588.0125206003702,-585.0280136616533,-369.48201639090814,-529.2074262920653,-886.1234143870759,-748.563845351467,-478.2228613542874,-361.8061707943415,-429.87254557541905,-666.9753794870693,-575.94579479573,-339.5544010629727,-904.3193877640174,-871.5134670211814,-301.84135257797914,-363.8560171132266,-573.6099791582698,-589.2226068201413,-541.4312144553795,-435.553825669312,-339.1982171841753,-527.0427267147804,-234.2570790272664,-621.2448781539829,-380.30705840393955,-430.62240836271815,-623.6285311465961,-312.1550424824934,-468.4343398559256,-376.4192704838722,-264.231992853006,-390.8396944083927,-579.2373279268998,-431.8490126748769,-526.5107057308992,-716.445410219134,-480.82232629339285,-573.8343363409559,-270.1103423539157,-746.6265798720813,-451.1149336449879,-685.0143522094722,-433.51900242639806,-594.2412744645869,-678.4953158613845,-441.3773316224499,-526.2651311460028,-277.79027955576737,-419.06941806662076,-418.8946757828311,-680.3908212700302,-968.2955552066835,-400.0511766113558,-385.1618485205563,-711.4625670363098,-393.0434903889976,-330.0977830821638,-387.2122298555182,-363.73360137854456,-693.0503193969287,-763.2300359012677,-741.2129934068566,-703.2465502317186,-179.79728331042497,-285.9733451073233,-549.4993478337891,-511.0853048267694,-451.36801057807713,-280.4739134751312,-432.31517030130976,-829.8025295834098,-708.6161792484256,-813.6852774807444,-419.09441365141527,-220.1909812533525,-372.1476354346645,-387.298766704871,-604.516400268364,-600.2179725945122,-409.52269319837524,-603.2012419692163,-480.6319241310564,-499.1496124967415,-198.51625658025694,-279.9608014106867,-767.5252746759054,-583.6810234921504,-236.49579671547366,-789.363242070508,-543.1335406948346,-820.8586558591933,-363.5083201652574,-537.8960611828472
-935.1829865816264,-450.5774023698958,-728.5483437442407,-494.20124706497495,-504.60186123263475,-328.17854440857263,-376.9710878905141,-743.7985363278921,-318.47529100706674,-199.45863117998294,-546.3800832092348,-866.8954145452531,-441.99482208789175,-503.5689253059961,-169.6575249865897,-526.1752659539195,-895.1770584319349,-818.4760674120275,-362.4289872053272,-845.7111727020517,-723.3836445339964,-443.29009667249534,-227.63850716857945,-376.3055565446788,-642.69349099896,-349.9662115006671,-548.9302345263628,-516.2618268693518,-831.9122175218649,-217.05677655013847,-733.3855524825689,-436.0135543525316,-310.51735107215814,-523.278531015163,-604.7141723296817,-309.5619254147524,-508.9141723029187,-245.3190797062084,-740.9537757475252,-417.15206579865617,-404.79470677596123,-744.1667940416376,-558.1665088710761,-350.08873201755614,-532.3668745123042,-331.1555128230923,-296.41526987626,-375.35590026875343,-761.3408800653524,-530.67151131233,-742.494023742688,-975.6720213294004,-414.274038968249,-860.5789759406446,-199.04191656113926,-385.7238554619612,-269.20252532445693,-411.27202880102834,-829.4063765130936,-435.09295843758605,-1085.5717970457886,-470.7131589258605,-341.83103233482814,-258.20463675277495,-451.9648130843973,-415.1201869220919,-990.0662680235921,-856.030079377666,-505.12848573144424,-1160.7981982531692,-379.0465735178035,-348.4769717107524,-822.3514777376297,-261.7623698507656,-641.6362973539218,-250.0539919632971,-182.0561147222482,-478.0554685539794,-888.340057412059,-704.6863295484168,-249.7696170903015,-192.85807416440753,-497.24392769959934,-615.7762939362075,-733.1110268059704,-476.19289540218335,-622.6788830942279,-544.5696135953814,-636.4836330804103,-532.9948830573722,-322.8161606687057,-657.4596344654963,-576.8416879281848,-531.8228434524883,-372.4971317354376,-550.0997750151497,-702.2468004357124,-439.6591911060848,-403.9779719246559,-382.26942172179724
