0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-76.34554268159059,-115.32073268668836,-115.04747801257753,-71.14728741922534,66.63795132875734,-2.887603239814098,-56.452259102128664,-39.86396194131919,-98.36244009258547,2.383654067579073,-86.09163222593969,9.274750359996517,-7.954906428286819,-37.46815422774537,8.285837515344042,-64.7589445627176,-101.48839480410379,-83.44000051765448,-45.038546913274814,-85.52170131581141,-21.48671010991012,28.150103528471988,-13.771611188763956,-26.757950001955095,-79.01748220375902,-124.9008729992874,61.5620638599099,-141.2425823575701,-30.31200439982655,-88.37797888148367,16.56907961412881,-23.751684412647393,-66.91874250435473,19.383927016406318,-91.94683750290346,-73.83821416902282,-30.04989511103352,-8.391809297247931,2.33673834383481,-18.864129297925444,-37.45713244399303,-46.101306862809366,-82.106509633016,-4.426532482955167,-64.1211263130063,-26.21739383493457,-0.22785042548909473,-42.454762784541316,-96.60665577897447,-61.968963936907585,-31.565811474665452,-106.83603614079493,-68.37047186755865,-96.37245901701738,-53.13369909188518,-155.05662006030252,-37.666152145927384,-131.46693548806815,-114.90209404191268,-52.15667618158719,-53.00033204484399,-24.1450939933421,-39.16604273740279,-14.092237255530819,-7.734216987490413,-53.98878638824661,-59.5303566627324,-111.57499506348381,22.050752639968294,-73.6840712572307,-98.1701748377618,-46.77007999253041,-30.46409848127223,-5.381967988757509,-39.177432374473796,-27.904997347237327,-129.0349452572646,-41.12139488920246,36.5011664767504,-63.08188803005811,24.407955494335283,-40.270162515266065,-86.79589354905681,-105.46356886612364,-110.40703108734851,-19.75086178806339,-16.462390157955355,-53.42466032931938,-76.76517403670653,-47.407374317710946,-59.826675308364884,-34.46490342990646,-152.6018818917235,20.37764600984974,-91.14138546308328,14.103369176244883,-59.92318093862559,-75.65408047006383,-43.34908035289314,-79.8661725777311
-63.44299029387088,-130.4358950797892,-125.73941380407933,-73.56903895938638,40.18048210215349,-14.821966146446783,-120.24125961605012,-66.79957597019097,-181.59307545235714,-74.16267960757528,-116.56734069437198,-27.59367560825939,-38.466479664850596,-25.128696907229454,-95.7830085620738,-80.12725346935719,-23.984454738135355,-53.42374336991162,-75.19834826975585,-98.5590492847391,-93.36206992562353,-45.85482614517974,26.561114370552332,-147.63487042451277,-97.23409293949067,-302.144053740574,45.58894206536576,-129.0092786507471,-66.22977226741966,-104.9490536622418,-87.1444710553252,9.12909667754613,-184.3094421040471,-1.7050102099296964,-155.78228180129332,-40.77148865728998,-21.889907036104262,-29.25997249352045,-91.15741427702466,-4.116907850986877,28.504544829896247,-38.96181634228657,-76.26116092546971,-103.41348568990543,-67.83270971956102,-114.8819820629725,-57.7854519423592,-47.33822710255302,-63.14286841318642,-42.685855660729345,7.966769106566943,-80.69014771366886,56.56325666528784,-63.50035106077473,-148.9985309396697,-100.89372457215597,-9.622913281048682,-56.73496291489545,-107.27586796193066,-78.0550556644165,-116.26977513180765,-59.50575578448775,4.6595763720984,-74.28035127936784,19.792418035044307,-11.934182496947727,-164.72463228339683,-196.9697397340309,-5.884543387948099,-127.9645957025133,-184.12818656055128,-8.620395828307409,-6.811253968690522,-132.05946469283958,-27.692465926546873,-82.5719158840995,-158.3559507926912,-112.2956599231411,20.39336223123675,-49.923603030998265,-75.46643303616509,-33.24841231712398,-59.99908793842599,-144.61383864277093,-37.783210922690955,-52.20402479543219,-86.39001833905218,-62.42339403586385,-45.380910098619836,-84.4301852052979,-134.6932088258976,37.4384818607831,-82.37871829620735,37.618135319602914,-82.79732086778597,-37.89196601253025,-142.0710484491567,-136.24928736873403,5.274602287814844,-108.2321867455729
-171.0019994171883,-148.79622200924138,-63.31329252722401,-38.7518940529429,-35.02311791907843,-97.79503203291523,-87.86408976570112,-109.49731082658093,-314.4472307417538,-184.02400857112707,-134.90874915422563,-133.40242227192306,-184.95174546088543,-210.01205019657823,-96.21090771110886,-162.54924409158826,-130.35504709169282,-45.39232550178389,-179.19875672337514,-55.76305954684392,-81.8010060791488,-34.9747645718721,-136.73357968362336,-179.63252555684164,-167.05799275152765,-276.9619648640077,4.819729763780572,-42.30269182883066,-16.9805603176776,-225.8014497294226,-189.8295814548136,-157.9498410914312,-269.16302909370046,-42.15340040468314,-275.39485139235364,-72.52278823022039,-61.963668816845086,-10.787247456796678,-127.11372385141664,-41.10750636599252,-131.8037953125576,-37.72876721955447,-106.81609339467889,-126.99626102571165,-53.32120207792042,-146.20090703727902,-147.24575884278448,-108.47962670283215,-118.95236443208859,-40.1141687943817,-41.434650085989375,-146.44738069036703,-17.098149504100917,-112.11791056790832,-216.45432163279253,-155.83551471426483,-147.18999022500066,-250.5631320967401,-156.618863383644,-73.45109544726898,-266.6780444541263,-73.96820109559957,-19.899088545635124,-212.15689824052896,29.037878703879556,-189.6679171907905,-246.73777142224748,-230.4286913265209,-95.33852923209298,-118.26962434393482,-144.7254782976769,-104.14858986223362,-111.53228509976083,-7.202374051321584,-106.696254554647,-29.470045676331665,-193.42335804751133,-121.62514599744236,-51.921663973485295,-239.72791299372915,-98.01781230709389,-25.413172991577966,-99.35050645134129,-221.1033284985681,-100.19989844825511,-91.3586027621568,-147.75472703421963,-58.55272921560538,-66.16555736977261,-165.1607818475128,-139.0823166703783,-54.833317191391075,-76.1926634086152,-35.57527791496412,-153.1616883579377,-56.8146356985614,-195.07307173646575,-221.89371302520203,-95.4009447083568,-48.32944126790724
-198.616485602294,-189.62261377004882,-101.48662238329331,-134.85210268450862,-199.63688788033858,-66.40662644659335,-257.0981430881996,-140.1074952171375,-232.21127085802334,-176.07273546757347,-156.60170485761438,-106.35444340841474,-141.8552744529012,-278.39186884787046,-103.49605325490916,-263.3720215601319,-196.24886364592965,-68.36070852922882,-389.0090281507226,-84.49911070641804,-239.39217778707763,-148.33747906097534,-159.02117663972433,-109.43406578071983,-234.2196923644937,-327.5090085760109,-98.19536062785085,-141.04665935537162,-13.050589784473459,-94.20704175594216,-158.7777621466352,-118.16878149968124,-332.562475577151,-209.8623413908898,-155.00243855613036,-113.07112519777837,-1.9815547955710997,-121.28479098907815,-92.3443782551085,-260.96061251121847,-156.96314194257332,-149.76116614991372,-164.14315426202018,-93.66064399453779,-135.09705998157682,-181.78800972270852,-92.37997808600244,-96.71746404758966,-111.09326191847629,-94.2617498115257,-24.213606238938468,-467.9906423671684,-97.28512331806735,-173.97029912254567,-233.7181850909052,-254.45497895562386,-226.2468856422592,-282.36065983032506,-111.54468700550552,-164.8999256036048,-280.1484716435836,-175.28602927384458,-4.107292503942489,-368.2269898497653,-65.8865567271402,-94.46668058356903,-253.49848626143546,-282.45912179244766,-74.74505279186349,-128.64954232272885,-155.1860797801229,-194.48244753788072,-159.2453317761263,-86.73555724988114,-153.74591874283738,-96.85406735634598,-214.50093697515035,-308.25335912816666,-232.89585795897278,-395.45386884738986,-175.78759077944648,-92.00270063931299,-127.79913402629796,-240.35142785128022,-155.58722839525387,-182.24831161210312,-173.67501637754646,-137.76710359640884,-99.63792557649259,-299.90058905638585,-330.0165579623803,-71.38843862844658,-247.01809193919183,-49.76904059287142,-129.3898263951532,-83.77297842769082,-271.6625667802708,-160.062900315606,-140.80458976765743,-148.63062485663528
-277.3930018702207,-225.2001012508251,-265.53017157434067,-140.5832360819962,-110.85953814863856,-107.19171179802314,-300.76458315068385,-136.67898017170953,-309.0541156764252,-151.39768519790383,-150.96661808901942,-128.80515115995124,-321.1998002322807,-244.9098168331698,-184.06599722537973,-263.25257223795404,-245.3047232394758,-228.8356091247533,-225.58206433990952,-99.50102672486636,-291.3786977237519,-92.32780345414884,-200.29883599903437,-164.37402717035056,-182.47633965228928,-416.21379399535726,-98.15003695356634,-175.35549696094816,-288.9247402251417,-146.71473710316954,-116.09311921614838,-149.33678236594002,-289.0251447228503,-327.6967927124035,-147.01773630505895,-197.72655541448822,-95.5928444660826,-175.31976319096313,-224.58012542241457,-286.1707614359615,-202.01158027432737,-298.1208593018986,-188.68733514470236,-89.31099458968586,-181.9270962130424,-92.69528569386213,-232.683151137448,-11.645886111206124,-177.20987181000604,-108.52239205813626,-142.73003114277296,-237.19311683305708,-140.0055557526645,-19.383916790302806,-274.59657826795126,-288.68408574634714,-164.82537817666648,-177.38552492483635,5.073131547464129,-280.8601699630892,-300.3796803503632,-271.54739488111943,-128.9759086597015,-276.7399513122357,-139.36923745124594,-107.74915313577853,-218.12751300629012,-195.1878341884728,-106.02483475416514,-104.8921234783185,-227.00468414500082,-288.37124692118414,-286.75686870216794,-49.455098149034995,-153.49786515259225,-156.1772866695408,-468.7192901080284,-171.35072604985518,-208.93137379678203,-450.8755889244195,-187.86389262638156,-141.7907444942218,-191.10564498447238,-221.56201175291537,-357.79103234821935,-179.51112409225235,-343.28913709186975,-271.2837002277629,-73.73106844043329,-320.44016284562576,-262.24258973877363,-175.61636296585502,-168.34103970440728,-87.6019549100005,-359.7623480363652,-155.00251952352565,-338.2829344027442,-147.5810980258096,-256.88921224163073,-232.92278349437188
-336.8940074252999,-106.52311441310331,-439.80349505044643,-160.62605759693787,-92.53520337312204,-254.96655090526536,-432.9085100612645,-474.14594246200505,-258.8597065659196,-186.40261703770767,-282.8580115972402,-297.34814338362077,-270.571521702802,-219.00493756074167,-213.59871054507516,-415.6483189897388,-281.9247172771161,-162.9063298509372,-245.7948231488317,-305.4996866151245,-312.07795834521306,-215.6786769764052,-394.3996424393907,-162.69031505481576,-256.4052753491336,-375.5231890614527,-165.94034446219626,-382.2861290208668,-244.15881514656502,-201.93887901910966,-263.2592401170068,-156.1036084924122,-218.78412929588586,-392.8926666396026,-98.8734968515385,-184.45314037397833,-129.18201882715613,-292.1361012883135,-186.28789007935302,-289.5858766813128,-379.15750908541764,-497.69788246801573,-149.81004029101837,-216.1563869886009,-148.25719146390202,-162.43682837486966,-128.20352438115037,-95.50181701413538,-410.8983210992863,-127.45771481999498,-152.30807932617688,-197.45617417142233,-217.73072855841184,-188.1664810348678,-249.02975669193285,-466.08535271144586,-171.53542713019027,-232.9647441494526,-156.50791518568985,-487.62023174434484,-122.86777524381426,-356.7153450659085,-143.19492278637335,-528.6898985754906,-197.45227779419957,-338.7908237348724,-326.98700627916463,-382.71344518773805,-247.96285709760912,-58.28445522258565,-354.1472120789476,-397.3778316574183,-231.15054504380737,-157.53542338398864,-230.28156655248563,-178.1135588826882,-566.9063611946312,-76.02253627239298,-292.60859074386667,-248.28122408098716,-254.82306878018164,-199.86684635192398,-325.89554508184136,-330.8581250589485,-389.64897002418815,-300.40313617651566,-201.4118947618495,-541.0347376471614,-141.80805934409665,-280.00669080353515,-165.6751553464485,-178.74562712609418,-218.4988587359453,-143.97698248679097,-383.9057708802805,-162.94932834495245,-311.88085029529566,-262.7583438178898,-343.50507174264345,-301.4768849301975
-451.18278495639777,-157.0717967804885,-294.0391495775329,-327.45613844066554,-223.4584267040143,-265.33682648155724,-341.1568879034746,-281.4199481376793,-252.67520869622564,-422.4523304023493,-330.3595860266662,-173.1404303441647,-493.6865105916535,-84.90610424652516,-293.1608194524336,-348.7596416340132,-414.2092877234943,-225.40292393538834,-146.3900837380313,-301.68879218044583,-158.64981043468782,-302.0363438567896,-453.959037525446,-326.3118580952648,-210.78186022261713,-440.71230035629753,-239.32426595777167,-562.8325608739882,-444.62882516928426,-301.9335296158022,-187.6537860381436,-290.59326295108735,-160.97515936235277,-470.09560425177085,-246.46533671817946,-322.3406377091269,-168.8105338564938,-259.767293538785,-363.44580888663177,-429.0415035307773,-335.9994719725488,-326.97731126440647,-262.0653412139871,-309.13014498200516,-291.35014425251325,-347.0217714849115,-286.3241118414562,-179.50932554846383,-316.03119270844263,-140.16224720750375,-210.7778652675708,-426.2509611642182,-342.7773776688613,-132.8149701731524,-440.4957728192147,-507.9163316797118,-307.29593188311276,-212.67651390382855,-43.19551953448368,-532.5902286298152,-95.96946842310552,-263.34881082821516,-138.95090928285913,-282.24491933483125,-233.68301173561247,-362.1466711406416,-376.0751249543382,-397.77284798439905,-262.38901417743244,-140.25533823796655,-512.478139922347,-386.2519551010214,-604.835500711085,-139.66037679084218,-417.86593402643246,-407.3103053806532,-367.9200355513816,-144.69226899808285,-338.5246771302261,-270.4377326870591,-291.6458047851345,-334.3142279640591,-357.2927394552647,-239.96180659507866,-335.77476560320997,-340.7411661315018,-341.7949742634221,-514.4424531523528,-186.9113535961248,-300.7201267159585,-182.0395218917543,-221.70754838514733,-305.6992393347123,-247.91384588509965,-383.38178466533793,-176.57300192908895,-619.2454606421986,-474.8312823991207,-166.31157902292932,-355.3120171687833
-581.0172778468446,-114.43834515103109,-189.13025342705353,-280.21638183073253,-145.7386136291477,-228.1290994121745,-628.2394288554026,-209.19103493284425,-323.9830248043894,-639.7528017050481,-213.19942076012748,-250.9006232726148,-325.53436251767585,-68.19902943559705,-438.66289263874296,-235.90406081562836,-424.32403665782795,-219.58560209109575,-239.41860625944494,-125.2179938358644,-153.1420665472389,-246.4552482335143,-383.6301997443636,-320.19737145734985,-202.75590617683403,-390.7628178336537,-148.83261261639487,-486.62767718198995,-154.71509775551075,-202.2623054325463,-319.8655445241651,-167.70084460673363,-191.06043255612158,-291.4626138411677,-379.9917895774805,-258.88496441462894,-238.5258247872283,-134.4626025843293,-108.44249951593483,-403.5224957219523,-191.2735326259336,-201.99825962109227,-153.12890693707376,-253.90393920263685,-168.365850578509,-261.7303352435481,-211.0415864952607,-188.89389423966966,-235.12406263027563,-170.13609050373734,-182.20179624155716,-235.13799563084436,-271.602561807567,-222.34381242325966,-333.01650289335,-321.86861461315596,-439.94340497821804,-187.11715817384035,6.712381420485286,-301.06338995916303,-62.73460368599987,-318.8343516838337,-107.51862517325745,-310.61070800975085,-250.54332228674818,-244.80903036057654,-395.11949679611826,-327.173264005849,-252.12266267160592,-144.40496288554718,-518.0879641444282,-452.52697065392783,-149.57855815981722,-10.159620614889974,-457.628814231727,-221.06533316743494,-218.4057227712298,-0.8727276896646003,-217.71465282565887,-163.23910427434853,-164.98655220200934,-214.72911851841522,-290.3384475381773,-159.36104169333365,-450.01286285113235,-212.27897753665135,-204.3944763512786,-261.0249134678372,-130.7834270708847,-253.93102625532615,-171.1817504204483,-241.97093928038382,-108.15864333858346,-272.1542321916802,-268.47545230067226,-145.79975707199853,-223.50162107598058,-480.8987459981447,-327.3531810875737,-219.93755019838594
-308.4348636330262,-128.1220293198705,-123.10109041663176,-183.11284896618278,-145.2498530097184,-84.42894340493214,-414.7526602921454,-162.89662334166323,-163.87460871942787,-300.2057445723518,-165.5413492515386,-97.27763869260914,-70.46468860808463,-109.29152137026452,-110.85639131985712,-113.51459112395136,-203.190297801566,-194.3359148190972,-208.47971436118482,-64.21684297801912,-14.532431106764136,-441.75450239945724,-112.44396644664207,-121.18089621378712,-88.76366907125734,-58.606321033519436,-107.98989322040481,-128.86333998246178,-144.0359835863732,-184.69071959069603,-208.17162272065596,-220.0548648473683,-108.75255895432687,-214.1060526036184,-337.53621381819084,-227.36115036102765,-205.54874533601586,-107.63093367467567,-105.13013776809535,-212.85245673504122,-281.6757361010775,-65.04717660094306,-27.045956760417596,-97.92472428599748,-135.73895596438862,-154.79402446541778,-310.9162216569488,-188.6599443848227,-142.87540159396835,-115.30986190447484,-152.12521610315534,4.967649221633309,-97.68963084726258,4.426235699626005,-282.20549553363196,-140.80463075750512,-178.82575825028417,-119.65488421480958,17.40922070919416,-167.7756218733381,-61.66065595266636,-174.05286608777917,-79.81482754489187,-239.26496528539255,-231.59434170554906,-183.24120230762875,-169.65426339818939,-213.40010813676216,-219.1841062875766,-78.75050131501317,-408.28668626547164,-231.73434782665285,-196.9215293540221,-26.0674184097511,-184.59244649565224,-84.33630996210152,-140.8300862276457,-4.719161421910314,-94.2365903382466,-190.72728783220285,-208.12718290727676,-37.95928035202016,-131.147593015034,-26.69624355721973,-388.7944287842697,12.76206313895517,-281.48110208900164,-89.38124191546567,-93.31349149902414,-122.04138735818717,-93.79207494040597,-420.2881411933163,-58.50404459400207,-197.69801395955008,-226.85403523055336,-177.871983590724,-143.07264979975267,-237.1180794049408,-23.659473193624592,-210.20379927307968
-281.37785557352686,-117.86783982882363,-220.2560512057573,-197.25478734842554,-88.00329885793408,-186.0093739524173,-274.0515062838075,-149.5483708191858,-308.19327031587545,-241.94360462467162,-251.33920666662803,-211.5540644554512,-162.48010172262818,-100.70120531667894,-186.3759947750248,-169.27369956494826,-410.5325204418108,-295.94365132905136,-383.5420564490356,-232.2710051017186,-81.5135844388486,-303.22319784498086,-221.31950363995625,-175.44900812954594,-157.7656852573642,-189.2035698266868,-47.86425222521834,-197.33273587163492,-184.90884643979254,-251.66914984655588,-195.71239465671633,-87.5435966619261,-136.80190352086547,-190.60777408039834,-181.4425881370677,-108.469486064888,-27.56407154026263,-145.80317955927885,-251.66970068095108,-248.86025598545066,-290.08418675162454,-410.14916660471215,-85.17084362940292,-437.93539354281063,-118.92800481178315,-133.98996841262166,-150.47815369505125,-262.12639340469525,-219.61423384666725,-180.03064294001663,-161.44006417031957,-135.6425279946575,-94.22408787585348,-99.12583222840752,-293.6601481362296,-248.0147723442428,-330.3502916723761,-172.13961613512262,-207.5467261863544,-156.37699121157888,-217.07675066988278,-385.01734769924224,-156.0777205836773,-366.2563470576313,-295.8169065374775,-148.00449102853233,-195.25248100971086,-169.1911969280395,-237.6433400290094,-75.19901215441072,-377.6474338776445,-284.8286923465449,-78.51096119104082,-141.8244843136915,-158.88773250979241,-141.289069714041,-153.591391693095,-79.70220705703733,-134.78402676679886,-89.67776311622438,-107.23477163307976,-130.25914208254582,-131.84946331867135,-99.61157180757081,-405.0037404576269,-134.83136431659372,-274.5686237551296,-198.9175854411258,-148.63041981652097,-209.41287087656113,-72.12766858732633,-385.50892189135493,-269.67180860529766,-343.66185928288144,-179.68442663512778,-188.30165624671477,-60.56467393823587,-185.01679850352653,-184.86347998564017,-134.51672747191114
